rank,author,outlier_score,likes,comments,total_engagement,hook_type,topic,angle,structure,first_line,hook_150,full_text,url
1,Reshma Saujani,13.5,7219,350,7915,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,Eileen Gu deserves another medal for this alone,Eileen Gu deserves another medal for this alone   #BraveNotPerfect,"Eileen Gu deserves another medal for this alone 

#BraveNotPerfect",https://www.linkedin.com/posts/reshma-saujani_bravenotperfect-activity-7429947044762628096-_gZQ?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEIWbD0BJKrG7iRdUpFYZAC3-9q6QhxhwOY
2,Reshma Saujani,8.7,4799,178,5073,Teacher,Philanthropy / Cause,Thought Leadership,Hook -> Insight -> Close,"Moms, we did it!!!!!!!!","Moms, we did it!!!!!!!!  What started as the Marshall Plan for Moms in 2021 has become a pathway to universal child care in the largest school system ","Moms, we did it!!!!!!!!

What started as the Marshall Plan for Moms in 2021 has become a pathway to universal child care in the largest school system in America.

For decades, child care was framed as a personal struggle for moms, not as a core economic issue for employers and the state. That ends today. And I am so proud of our Moms First community for changing the conversation.

New York today. The rest of the country tomorrow.

Let’s do this!!",https://www.linkedin.com/posts/reshma-saujani_moms-we-did-it-what-started-as-activity-7415033517161611264-EzA7?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB7gKtAB2g4oHA8yJY0VljOb7bPdVFl3jU4
3,Reshma Saujani,5.8,3103,258,3372,Teacher,Motherhood / Family,First-Person Insight,Hook -> List -> Insight,"Hey guys, I turned 50 last week.","Hey guys, I turned 50 last week.  If you have been listening to my podcast, you already know that midlife and I have had a complicated relationship. A","Hey guys, I turned 50 last week.

If you have been listening to my podcast, you already know that midlife and I have had a complicated relationship. And honestly, for a long time, I was not sure if I wanted to make a big deal out of this birthday. There are headlines every day about how 50 is the new 30. And friends, they annoy me. I do not need to be 30 again. I do not even want to be 30 again. 30 was chaotic. 30 was defined by pressure to achieve and pressure to pretend I had everything under control. So the more I thought about it, the clearer it became that 50 is not a replacement age. It is not a rerun or a second chance at youth. 50 is its own season. And I wanted to greet it as myself, not as some younger version I was supposed to channel. We’re told to hide our age, that it’s rude to ask women how old we are. I’m done hiding my age. I am 50 and damn proud of it!

On top of that, so often us women spend a whole lot of time and money planning our weddings, planning our kids’ birthdays (iykyk), but we don’t spend it celebrating ourselves. I decided I wanted to put in that same amount of time and energy with friends and family to celebrate my own personal milestone… with lots and lots of dancing.

So I bit the bullet. I planned a girls trip. I planned a party (with help from my husband Nihal). Everyone there helped get me where I am, and I wanted to celebrate them just as much. I did something that felt brave in its own simple way: I let myself be seen. I bought a stunning gold dress. I had the audacity to want to be celebrated. And here is what I learned: You should ABSOLUTELY make a big deal out of the moments that matter to you. You should let the people who love you surround you with joy even if your instinct is to downplay your needs.

I hope this is a reminder to all of you out there to celebrate your life. So if you are on the fence about celebrating yourself, consider this your gentle nudge. I hope you choose to honor your happiness. I hope you celebrate your milestones. I hope you let your village show up for you. And I hope you trust that you are worth celebrating.

(Photo: Maxwell Brown / @maxwellpicswell)",https://www.linkedin.com/posts/reshma-saujani_hey-guys-i-turned-50-last-week-if-you-activity-7399220654878793731-cvDh?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8g_d4BGgZxQ4CpVaBEYFZUA5xzoL9hj_I
4,Reshma Saujani,5.1,2713,115,2982,Contrarian,Women in Leadership,Challenging Convention,Hook -> Punch Line,"The workplace was never built with women in mind. The system was broken from the jump. For anyone trying to make women think that we’re the problem, yet again, just stop. Stop blaming women. Blame the system instead. Better yet, do something about it! 👏👏👏","The workplace was never built with women in mind. The system was broken from the jump. For anyone trying to make women think that we’re the problem, y","The workplace was never built with women in mind. The system was broken from the jump. For anyone trying to make women think that we’re the problem, yet again, just stop. Stop blaming women. Blame the system instead. Better yet, do something about it! 👏👏👏

P.S. Hate to get all self-promotional, but I'll be sharing a deeper dive into that whole New York Times thing in my Substack next week, so be sure to subscribe 😉",https://www.linkedin.com/posts/reshma-saujani_the-workplace-was-never-built-with-women-activity-7393074442081452032-rPJ0?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
5,Reshma Saujani,4.7,2610,78,2759,Teacher,Philanthropy / Cause,Thought Leadership,Observation -> Question,"Moms, this you?","Moms, this you?  Whether a mom gets paid for her work or not, all moms are working moms. And we are TIRED, especially this time of year. ❤️  cc Moms F","Moms, this you?

Whether a mom gets paid for her work or not, all moms are working moms. And we are TIRED, especially this time of year. ❤️

cc Moms First",https://www.linkedin.com/posts/reshma-saujani_moms-this-you-whether-a-mom-gets-paid-activity-7408896562820689920-EOgR?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE2a-BEBl09j2DeKHhRpFDkwRhKN70r29bw
6,Reshma Saujani,3.7,1817,237,2181,Fortune Teller,Philanthropy / Cause,Future Prediction,Hook -> Numbered List -> CTA,"Hey guys,","Hey guys,  We've been secretly working on a film about motherhood in America. And today, we're excited to share our official teaser trailer.  For gene","Hey guys,

We've been secretly working on a film about motherhood in America. And today, we're excited to share our official teaser trailer.

For generations, mothers in the U.S. have been told to work harder, smile wider, and do it all — while a system built to fail us keeps going with the status quo.

Motherhood has been devalued and dismissed, yet mothers are still expected to hold up the economy with no structural support to stand on.

This film is an investigation into how we got here — and what it will take to build something better.

Oh yeah, and we're also trying to make some history in the process. Our goal is to break the Guinness World Record for the most producers ever listed on a film. We want moms everywhere — working moms, stay-at-home moms, single moms, church moms — to see themselves in it and to be part of our movement.

To get your named added to the film’s credits as an Associate Producer and help us break the world record, there's 3 things you can do:

1. Share your story — in writing or on video.
2. Donate $25 or more (or gift a credit).
3. Sign up to a host a screening this summer.

Ok, moms. Let's do this!

And of course a special shout-out to our producers Culture House Media and French Tuck Media and our amazing director, Raeshem Nijhon.

**Check out the comments for the link to become an AP 😉

cc Moms First",https://www.linkedin.com/posts/reshma-saujani_hey-guys-weve-been-secretly-working-on-activity-7401300064020688896-_uVd?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFoXFi4BOC_D0RsY3wMeWnzL1IKWa8miWCk
7,Reshma Saujani,3.3,1840,48,1942,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,Amen 👏🏼,"Amen 👏🏼  In 2026 may we see through any attempt to blame women and pit us against each other, and let’s focus our energy on the systemic issues that a","Amen 👏🏼

In 2026 may we see through any attempt to blame women and pit us against each other, and let’s focus our energy on the systemic issues that are holding all of us back.",https://www.linkedin.com/posts/reshma-saujani_amen-in-2026-may-we-see-through-any-activity-7411534367849877504-lVzY?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE2a-BEBl09j2DeKHhRpFDkwRhKN70r29bw
8,Reshma Saujani,3.1,1583,88,1825,Teacher,Finance / Money,Thought Leadership,Hook -> Punch Line,"Basically, six companies own all the algorithms that we use. And they've made a decision that outrage sells. That it pays to keep us divided.","Basically, six companies own all the algorithms that we use. And they've made a decision that outrage sells. That it pays to keep us divided.  We need","Basically, six companies own all the algorithms that we use. And they've made a decision that outrage sells. That it pays to keep us divided.

We need the next generation of engineers to build products that keep us connected, instead of intentionally dividing us.

(Video: Vermont Women's Fund's 2025 celebration)",https://www.linkedin.com/posts/reshma-saujani_basically-six-companies-own-all-the-algorithms-activity-7386412440961536001-CcXl?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADpvVoYBUx2AZFR---ZdAR9LHeZnQHPr4i4
9,Reshma Saujani,2.7,1446,61,1573,Teacher,Leadership,First-Person Insight,Hook -> Story -> Lesson,"This week on my Substack, I dive into one of my all-time favorite myths with economist Corinne Low, author of the new book ‘Having It All’.","This week on my Substack, I dive into one of my all-time favorite myths with economist Corinne Low, author of the new book ‘Having It All’.  Here’s wh","This week on my Substack, I dive into one of my all-time favorite myths with economist Corinne Low, author of the new book ‘Having It All’.

Here’s what she brilliantly broke down for me:

Economists divide the world into two spheres: market production (the work that’s paid and counted) and home production (the work that isn’t). Both are essential to society, but only one shows up in GDP.

For most of history, women did the home production and men did the market work. Then came the feminist revolution, and women entered the market. The problem? Men never entered the home.

So now, women do both.

We doubled our market participation without halving our home responsibilities. That’s what Corinne calls the “squeeze” — the strain we feel when we juggle working both in the market and the home. And it’s baked into the very economics of how we live and work. Every hour women spend on unpaid labor at home is an hour we can’t spend competing in the marketplace.

And yet when women try to adjust — by going part-time, freelancing, or choosing more flexible jobs — those decisions get framed as personal failings instead of natural consequences of the flaws in our structural design.

The idea of “having it all” was supposed to be aspirational, but it’s always been an accounting error.

To “have it all,” you’d need to live in an economy that values both forms of production — home and market — equally. You’d need workplaces that recognize care as infrastructure, not interference. You’d need partners who share the load.

Instead, we live in a system that still assumes someone else (and most often, a woman) is doing the invisible labor. And when she’s not, it all falls apart.

And that’s just the tip of it! Head over to my Substack for more on Corinne’s research, and stay tuned to our full chat on the 10.29 episode of My So-Called Midlife.",https://www.linkedin.com/posts/reshma-saujani_this-week-on-my-substack-i-dive-into-one-activity-7386860386236518401-rcAU?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADpvVoYBUx2AZFR---ZdAR9LHeZnQHPr4i4
10,Reshma Saujani,2.5,1257,54,1439,Teacher,Motherhood / Family,Thought Leadership,Hook -> Punch Line,Please join moms across the U.S. on Monday night to discuss what the hell is going on and what we’re going to do about it.,Please join moms across the U.S. on Monday night to discuss what the hell is going on and what we’re going to do about it.  More speakers to be announ,"Please join moms across the U.S. on Monday night to discuss what the hell is going on and what we’re going to do about it.

More speakers to be announced.

Join us here: https://lnkd.in/e9QCJZax",https://www.linkedin.com/posts/reshma-saujani_please-join-moms-across-the-us-on-monday-activity-7421244457607532544-EvZB?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
11,Reshma Saujani,2.0,1113,52,1195,Teacher,Philanthropy / Cause,Thought Leadership,Hook -> Insight -> Close,SO proud to be there today as Governor Hochul and Mayor Mamdani made a truly historic announcement about universal child care in New York.,SO proud to be there today as Governor Hochul and Mayor Mamdani made a truly historic announcement about universal child care in New York.  The TL;DR ,"SO proud to be there today as Governor Hochul and Mayor Mamdani made a truly historic announcement about universal child care in New York.

The TL;DR is this:

✅ Free child care for 2-year-olds is coming to NYC
✅ Universal Pre-K for 4-year-olds is coming across the state

And moms, trust me when I say you are the ones who made this happen.

This is just the start. If you are fired up about child care, join the Moms First movement and let’s get to work!!!",https://www.linkedin.com/posts/reshma-saujani_so-proud-to-be-there-today-as-governor-hochul-activity-7415074070280757248-wHHT?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB7gKtAB2g4oHA8yJY0VljOb7bPdVFl3jU4
12,Reshma Saujani,1.7,979,18,1022,Teacher,Philanthropy / Cause,Direct Advice,Hook -> Punch Line,New Mexico got sh*t done. Where do you want to see free child care come to next?,New Mexico got sh*t done. Where do you want to see free child care come to next?  Pretty much the rest of the world prioritizes child care. It's past ,"New Mexico got sh*t done. Where do you want to see free child care come to next?

Pretty much the rest of the world prioritizes child care. It's past time for the U.S. get on board. If New Mexico can make it happen, so can your state.

If you’re fed up with the cost of child care, elder care, and the lack of support for our caregivers, join the Moms First movement!!!!",https://www.linkedin.com/posts/reshma-saujani_new-mexico-got-sht-done-where-do-you-want-activity-7391201054102814721-8xm8?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
13,Reshma Saujani,1.6,780,76,913,Teacher,Politics / Social,Thought Leadership,Hook -> Insight -> Close,This should be a wakeup call.,This should be a wakeup call.  The federal government is now targeting women’s networking events as part of their “war on DEI.”  It’s because they’re ,"This should be a wakeup call.

The federal government is now targeting women’s networking events as part of their “war on DEI.”

It’s because they’re afraid.

They’re afraid of what happens when a group of women get together in the same room. We plot. We talk about how can build a better future for all of us. How we can work together to win child care, to win paid family leave, to build a country in which all of us can thrive.

And they’re scared of us.

Let’s be crystal clear: Reversing women’s progress in the workforce — by dismantling DEI, or otherwise — will do absolutely nothing to help the vast majority of men.

Men today are being sold a con: that progress is zero-sum. That when women rise, men have to fall. That when people of color get a shot, white people lose theirs. And that’s just not true.

Progress is not zero sum. 👏",https://www.linkedin.com/posts/reshma-saujani_this-should-be-a-wakeup-call-the-federal-activity-7430357665345785856-wnMm?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEIWbD0BJKrG7iRdUpFYZAC3-9q6QhxhwOY
14,Reshma Saujani,1.5,663,123,850,Teacher,Content / Brand,Thought Leadership,Hook -> Insight -> Close,"Imposter syndrome is a lie. And for all the history nerds out there, here's one of my favorite history lessons to break it all down!","Imposter syndrome is a lie. And for all the history nerds out there, here's one of my favorite history lessons to break it all down!  Recently, during","Imposter syndrome is a lie. And for all the history nerds out there, here's one of my favorite history lessons to break it all down!

Recently, during my conversation at Harvey Mudd College to discuss the crisis of disconnection, someone in the audience asked me for advice on how women can overcome imposter syndrome.

If you've been following me for a while, you might know that that's a question people ask me all the time. And in fact, I gave a whole graduation speech about it at Smith College! The thing is, it's sort of a trick question. Because to me, the best way to overcome ""imposter syndrome"" is to recognize that it's all a lie in the first place! It doesn't mean that your feelings aren't valid. But it does require seeing it for the myth that it is. Imposter syndrome, like bicycle face before it, is another tactic to dissuade women from making progress.

The next time someone with power tries to make you feel like you didn't earn your seat at the table, remember that that's all a strategy.",https://www.linkedin.com/posts/reshma-saujani_imposter-syndrome-is-a-lie-and-for-all-the-activity-7391536097589153793-iNjy?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
15,Reshma Saujani,1.4,784,30,833,Teacher,Philanthropy / Cause,Thought Leadership,Hook -> List -> Insight,My ins & outs for 2026. Let’s do this 👊🏼,My ins & outs for 2026. Let’s do this 👊🏼  cc Moms First,"My ins & outs for 2026. Let’s do this 👊🏼

cc Moms First",https://www.linkedin.com/posts/reshma-saujani_my-ins-outs-for-2026-lets-do-this-activity-7412659329339691008-stIE?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABXWSDsBRDKBdVxCmXW6KbToEUrvJQ3rCTs
16,Reshma Saujani,1.4,744,39,830,Teacher,Motherhood / Family,Thought Leadership,Observation -> Question,Why is the school day 8:30 to 3 and the work day 9 to 5?,"Why is the school day 8:30 to 3 and the work day 9 to 5?  But go on, keep blaming women for ruining the workplace. 🙃 . . . (Video: Aspen Ideas 2024 pa","Why is the school day 8:30 to 3 and the work day 9 to 5?

But go on, keep blaming women for ruining the workplace. 🙃
.
.
.
(Video: Aspen Ideas 2024 panel, The Dilemma of Modern Parenting)",https://www.linkedin.com/posts/reshma-saujani_why-is-the-school-day-830-to-3-and-the-work-activity-7398786837151981568-OL6K?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8g_d4BGgZxQ4CpVaBEYFZUA5xzoL9hj_I
17,Reshma Saujani,1.4,787,26,823,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,"Ok, these girls rock!!!! 👊","Ok, these girls rock!!!! 👊  ""Gupta said the club's meetings have become a place where students form friendships around stories that challenge them to ","Ok, these girls rock!!!! 👊

""Gupta said the club's meetings have become a place where students form friendships around stories that challenge them to think critically.

'Books can help bring us together. I like that our club does that for people.'""",https://www.linkedin.com/posts/reshma-saujani_ok-these-girls-rock-gupta-said-activity-7386132808374730752-wmvz?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADpvVoYBUx2AZFR---ZdAR9LHeZnQHPr4i4
18,Reshma Saujani,1.3,676,34,739,Contrarian,Leadership,Challenging Convention,Observation -> Question,"Some of you may have seen the New York Times headline — ""Did Women Ruin the Workplace?""","Some of you may have seen the New York Times headline — ""Did Women Ruin the Workplace?""  Once again, stop trying to blame feminism and women for our b","Some of you may have seen the New York Times headline — ""Did Women Ruin the Workplace?""

Once again, stop trying to blame feminism and women for our broken systems. Women didn’t “ruin” the workplace. It’s ALWAYS been broken.
.
.
.
(Video: Old but relevant 🙃)",https://www.linkedin.com/posts/reshma-saujani_some-of-you-may-have-seen-the-new-york-times-activity-7393309394358173698-2c_V?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
19,Reshma Saujani,1.3,662,29,733,Fortune Teller,Career Growth,Future Prediction,Hook -> Punch Line,"No, women didn’t “ruin” the workplace. We just finally asked it to work for all of us.","No, women didn’t “ruin” the workplace. We just finally asked it to work for all of us.  On my Substack today, I did a deep dive into *that* New York T","No, women didn’t “ruin” the workplace. We just finally asked it to work for all of us.

On my Substack today, I did a deep dive into *that* New York Times interview.

As always, let me know what you think! I'll share the link in my comments if you're up for reading it. 😉",https://www.linkedin.com/posts/reshma-saujani_no-women-didnt-ruin-the-workplace-we-activity-7393705230451986432-rqYJ?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
20,Reshma Saujani,1.2,656,26,713,Teacher,Philanthropy / Cause,Thought Leadership,Hook -> Punch Line,"Moms, look what we did!!!!!!!!!!!","Moms, look what we did!!!!!!!!!!!  Today, Governor Hochul and Mayor Mamdani announced:  ✅ Free child care for 2-year-olds in NYC ✅ Universal Pre-K for","Moms, look what we did!!!!!!!!!!!

Today, Governor Hochul and Mayor Mamdani announced:

✅ Free child care for 2-year-olds in NYC
✅ Universal Pre-K for 4-year-olds across New York State

And we’re just getting started.

Join our Moms First community if you’re ready to win affordable child care across the U.S. 👊

Drop a comment with where you want to see universal child care come to next!!!",https://www.linkedin.com/posts/reshma-saujani_moms-look-what-we-did-today-activity-7415119381300715522-u0f4?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB7gKtAB2g4oHA8yJY0VljOb7bPdVFl3jU4
21,Reshma Saujani,1.2,663,31,694,Experimenter,Leadership,Results From Experience,Hook -> List -> Insight,"So, 2025 was a doozy. I felt like I spent so much of this year in battle. To push people and organizations to do the right thing. To give voice to issues that affect women, girls and families. With my inner critic to stop being so hard on myself. And if I'm being honest, all of this outer and inner conflict has left me exhausted. I feel like I am crawling into 2026. I always say that bravery doesn’t feel good. It’s actually lonely and isolating. The same is true for deep introspection. And I felt that deeply this year. So this holiday, I am so grateful we staycationed. I've slept. I've meditated. I've prayed. I've played chess with Sai. Crosswords with Shaan. Rotted on the couch with Nihal. And cuddled with Steve. And while I am not fully recovered to do it all again in 2026, because let’s be honest, we got a lot more battling to do... I've gotten some perspective back that I lost. That the universe does bend towards justice if we make it. That rest is key. That a five-year-old continually beating you in chess is the most humbling thing (and the best healing) you can ask for. Thank you 2025 for all the teachings.","So, 2025 was a doozy. I felt like I spent so much of this year in battle. To push people and organizations to do the right thing. To give voice to iss","So, 2025 was a doozy. I felt like I spent so much of this year in battle. To push people and organizations to do the right thing. To give voice to issues that affect women, girls and families. With my inner critic to stop being so hard on myself. And if I'm being honest, all of this outer and inner conflict has left me exhausted. I feel like I am crawling into 2026. I always say that bravery doesn’t feel good. It’s actually lonely and isolating. The same is true for deep introspection. And I felt that deeply this year. So this holiday, I am so grateful we staycationed. I've slept. I've meditated. I've prayed. I've played chess with Sai. Crosswords with Shaan. Rotted on the couch with Nihal. And cuddled with Steve. And while I am not fully recovered to do it all again in 2026, because let’s be honest, we got a lot more battling to do... I've gotten some perspective back that I lost. That the universe does bend towards justice if we make it. That rest is key. That a five-year-old continually beating you in chess is the most humbling thing (and the best healing) you can ask for. Thank you 2025 for all the teachings.",https://www.linkedin.com/posts/reshma-saujani_so-2025-was-a-doozy-i-felt-like-i-spent-activity-7411854952215724032-4TDe?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE2a-BEBl09j2DeKHhRpFDkwRhKN70r29bw
22,Reshma Saujani,1.2,590,48,683,Teacher,Philanthropy / Cause,Thought Leadership,Hook -> Punch Line,"Discussing the state of motherhood today with Steven Bartlett back when he had me on Diary of a CEO to talk about my book, Pay Up, and building Moms First.","Discussing the state of motherhood today with Steven Bartlett back when he had me on Diary of a CEO to talk about my book, Pay Up, and building Moms F","Discussing the state of motherhood today with Steven Bartlett back when he had me on Diary of a CEO to talk about my book, Pay Up, and building Moms First.

Moms, let me know if this resonates ❤️
.
.
.
📺: The Diary of a CEO with Steven Bartlett",https://www.linkedin.com/posts/reshma-saujani_discussing-the-state-of-motherhood-today-activity-7394135529534943233-jn4O?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8g_d4BGgZxQ4CpVaBEYFZUA5xzoL9hj_I
23,Reshma Saujani,1.2,619,37,677,Teacher,Philanthropy / Cause,Thought Leadership,Hook -> Punch Line,Another win for child care!!!,"Another win for child care!!!  From New York to SF, our message is spreading: America’s parents are fed up with child care costs. Affordable, accessib","Another win for child care!!!

From New York to SF, our message is spreading: America’s parents are fed up with child care costs. Affordable, accessible, high-quality child care is the way forward!!!!

Drop a comment with where you want to see universal child care come to next 👊

cc Moms First",https://www.linkedin.com/posts/reshma-saujani_another-win-for-child-care-from-new-york-activity-7417416937644777472-18nb?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
24,Reshma Saujani,1.1,561,53,663,Teacher,Women in Leadership,Thought Leadership,Hook -> Insight -> CTA,It's true: nearly all the job losses in last month's jobs report were women.,It's true: nearly all the job losses in last month's jobs report were women.  And it shouldn't take a PhD in economics to figure out some of the reaso,"It's true: nearly all the job losses in last month's jobs report were women.

And it shouldn't take a PhD in economics to figure out some of the reasons why.

The cost of child care is too damn high!

It's not that women are suddenly deciding to quit their jobs. They're being forced out!

Because when child care costs more than your mortgage, someone is forced to step back. And in America, that ""someone"" is still almost always the mom...

That's why we need the public AND the private sector to treat child care like the economic imperative that it is.

My organization, Moms First, is working to fix this. And we'd love for you to join us!

Thank you to Holly Corbett for including me in this important story in Forbes. I'll share the full link in my comments.",https://www.linkedin.com/posts/reshma-saujani_its-true-nearly-all-the-job-losses-in-last-activity-7417574341678272514-UxnK?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
25,Reshma Saujani,1.0,560,9,589,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,Love EJAE's words on failure!,Love EJAE's words on failure!  “Rejection is redirection” 👊   #Golden #GoldenGlobes #KPopDemonHunters,"Love EJAE's words on failure!

“Rejection is redirection” 👊 

#Golden #GoldenGlobes #KPopDemonHunters",https://www.linkedin.com/posts/reshma-saujani_golden-goldenglobes-kpopdemonhunters-activity-7416313400403726336-BNoC?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB7gKtAB2g4oHA8yJY0VljOb7bPdVFl3jU4
26,Reshma Saujani,1.0,485,53,570,Teacher,Motherhood / Family,Thought Leadership,Hook -> Punch Line,"Marriage is now a luxury good, explains The Wharton School economist, Corinne Low.","Marriage is now a luxury good, explains The Wharton School economist, Corinne Low.  Corinne's new book, Having It All, is out now. We dive into it and","Marriage is now a luxury good, explains The Wharton School economist, Corinne Low.

Corinne's new book, Having It All, is out now. We dive into it and the economics of marriage and women's lives on my podcast, My So-Called Midlife, this week!",https://www.linkedin.com/posts/reshma-saujani_marriage-is-now-a-luxury-good-explains-the-activity-7390031981763272705-HfaK?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADpvVoYBUx2AZFR---ZdAR9LHeZnQHPr4i4
27,Reshma Saujani,1.0,501,26,558,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,"A few years ago, I gave a speech at Bill Gates's Summit. I was slotted between Bill Gates and Warren Buffett. Here's what I learned.","A few years ago, I gave a speech at Bill Gates's Summit. I was slotted between Bill Gates and Warren Buffett. Here's what I learned.  (Video: Throwbac","A few years ago, I gave a speech at Bill Gates's Summit. I was slotted between Bill Gates and Warren Buffett. Here's what I learned.

(Video: Throwback to my episode of Steven Bartlett's Diary of a CEO)",https://www.linkedin.com/posts/reshma-saujani_a-few-years-ago-i-gave-a-speech-at-bill-activity-7394784876920516608-WyqF?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8g_d4BGgZxQ4CpVaBEYFZUA5xzoL9hj_I
28,Reshma Saujani,0.9,525,9,554,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,🖤,🖤,🖤,https://www.linkedin.com/posts/reshma-saujani_activity-7406030772429627393-yKDE?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADQ_LHkB2V_Pv_5w1EehW46rK8xbW3kA2r8
29,Reshma Saujani,0.9,471,33,519,Teacher,Philanthropy / Cause,Thought Leadership,Hook -> List -> Insight,"That’s a con we’ve been telling women and girls, and it’s the exact one we’ve set out to expose in our new documentary film about American motherhood, coming soon in 2026.","That’s a con we’ve been telling women and girls, and it’s the exact one we’ve set out to expose in our new documentary film about American motherhood,","That’s a con we’ve been telling women and girls, and it’s the exact one we’ve set out to expose in our new documentary film about American motherhood, coming soon in 2026.

This film is for every mother doing everything right and still feeling like she’s failing, not because she is, but because the system is failing her.

We’re calling on moms (and dads and anyone who cares about moms) to come on board as an associate producer on our new film in one of 3 ways.

1. Sign up to host a screening this summer.
2. Share your story in writing or on video.
3. Donate $25 or more (or gift a credit in someone else’s name).

Let’s do this. 👊

(Video: Vermont Women's Fund's annual celebration)",https://www.linkedin.com/posts/reshma-saujani_thats-a-con-weve-been-telling-women-and-activity-7402753856129941504-G-9Y?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFoXFi4BOC_D0RsY3wMeWnzL1IKWa8miWCk
30,Reshma Saujani,0.9,481,32,515,Teacher,Philanthropy / Cause,Thought Leadership,Hook -> Story -> Reflection -> Question,Happy #FailureFriday!,"Happy #FailureFriday!  Last weekend, my team at Moms First and I were so excited for our segment on CBS Sunday Morning (about child care) to air live ","Happy #FailureFriday!

Last weekend, my team at Moms First and I were so excited for our segment on CBS Sunday Morning (about child care) to air live after months of working behind the scenes on it.

I woke up early, made pancakes, and called the family in to watch. It felt like such a big moment…. one of those rare chances to actually see the movement we’ve been building together. And, I definitely had expectations in my head of exactly how the scene would play out at home for the big reveal.

Then, reality laughed at the plans I had made.

My youngest, Sai, wanted to watch Peppa Pig. Shaan, my oldest, playfully grabbed the remote in a game of keep-away. I got mad. They got madder. Suddenly we were in a big argument in separate corners of the room negotiating screen time instead of watching my big moment unfold. And in the cartoonish tornado of flying words and objects (somehow tiny socks were launched in the air?), the segment had come and gone.

After we all had cooled down in our respective corners of the house, Shaan and Sai came downstairs and, in the most sweet and genuine voices said, “I’m sorry, momma.” I took a breath, laughed, and we sat down to rewatch it together (Thank God for YouTube TV!). Calmly, this time. And, cuddled up on the couch.

The moment I’d imagined all morning — the perfect live debut, the family gathered around in awe — didn’t happen. I got a small circus instead.

And truthfully, I’m still figuring out how to hold both things at once: the pride and the frustration, the joy and the chaos. How to let the big moments be messy and still mean something.

I know I'm not the only one. Sound like anyone else's Sunday at home?",https://www.linkedin.com/posts/reshma-saujani_failurefriday-activity-7392685695594680322-gNyD?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
